0, 0, 0, 3.833300e-02 
-8.657500e+02, -924, 2.263250e+03, 1.050596e+00 
-8.675000e+02, -923, 2261, 2.056543e+00 
-8.677500e+02, -924, 2.260250e+03, 3.061790e+00 
-8.647500e+02, -9.225000e+02, 2.262250e+03, 4.069458e+00 
-8.657500e+02, -9.235000e+02, 2.261500e+03, 5.074377e+00 
-8.682500e+02, -922, 2.261750e+03, 6.079043e+00 
-866, -923, 2262, 7.083825e+00 
-8.662500e+02, -9.232500e+02, 2.261500e+03, 8.095055e+00 
-8.665000e+02, -9.225000e+02, 2.262500e+03, 9.099773e+00 
-8.665000e+02, -922, 2262, 1.010445e+01 
